file_path,action_category
/Users/mario/Desktop/ece910/Wild-Bunch-output/keyshots/frame_0.jpg,Capture
/Users/mario/Desktop/ece910/Wild-Bunch-output/keyshots/frame_100.jpg,Capture
/Users/mario/Desktop/ece910/Wild-Bunch-output/keyshots/frame_1000.jpg,Heist
/Users/mario/Desktop/ece910/Wild-Bunch-output/keyshots/frame_10000.jpg,Heist
/Users/mario/Desktop/ece910/Wild-Bunch-output/keyshots/frame_100000.jpg,Capture
/Users/mario/Desktop/ece910/Wild-Bunch-output/keyshots/frame_100122.jpg,Escape
/Users/mario/Desktop/ece910/Wild-Bunch-output/keyshots/frame_100420.jpg,Heist
/Users/mario/Desktop/ece910/Wild-Bunch-output/keyshots/frame_1005.jpg,Heist
/Users/mario/Desktop/ece910/Wild-Bunch-output/keyshots/frame_100512.jpg,Capture
/Users/mario/Desktop/ece910/Wild-Bunch-output/keyshots/frame_100692.jpg,Capture
/Users/mario/Desktop/ece910/Wild-Bunch-output/keyshots/frame_100840.jpg,Capture
/Users/mario/Desktop/ece910/Wild-Bunch-output/keyshots/frame_100957.jpg,Heist
/Users/mario/Desktop/ece910/Wild-Bunch-output/keyshots/frame_1010.jpg,Heist
/Users/mario/Desktop/ece910/Wild-Bunch-output/keyshots/frame_101175.jpg,Capture
/Users/mario/Desktop/ece910/Wild-Bunch-output/keyshots/frame_101210.jpg,Capture
/Users/mario/Desktop/ece910/Wild-Bunch-output/keyshots/frame_101280.jpg,Heist
/Users/mario/Desktop/ece910/Wild-Bunch-output/keyshots/frame_101367.jpg,Capture
/Users/mario/Desktop/ece910/Wild-Bunch-output/keyshots/frame_101450.jpg,Capture
/Users/mario/Desktop/ece910/Wild-Bunch-output/keyshots/frame_101567.jpg,Capture
/Users/mario/Desktop/ece910/Wild-Bunch-output/keyshots/frame_101685.jpg,Capture
/Users/mario/Desktop/ece910/Wild-Bunch-output/keyshots/frame_1018.jpg,Heist
/Users/mario/Desktop/ece910/Wild-Bunch-output/keyshots/frame_101820.jpg,Rescue
/Users/mario/Desktop/ece910/Wild-Bunch-output/keyshots/frame_102005.jpg,Capture
/Users/mario/Desktop/ece910/Wild-Bunch-output/keyshots/frame_102135.jpg,Capture
/Users/mario/Desktop/ece910/Wild-Bunch-output/keyshots/frame_10220.jpg,Heist
/Users/mario/Desktop/ece910/Wild-Bunch-output/keyshots/frame_102297.jpg,Heist
/Users/mario/Desktop/ece910/Wild-Bunch-output/keyshots/frame_102377.jpg,Capture
/Users/mario/Desktop/ece910/Wild-Bunch-output/keyshots/frame_102610.jpg,Capture
/Users/mario/Desktop/ece910/Wild-Bunch-output/keyshots/frame_103140.jpg,Capture
/Users/mario/Desktop/ece910/Wild-Bunch-output/keyshots/frame_103250.jpg,Capture
